domain	country	A	NS	CNAME	MX	TXT
heavenlydates.co.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
heavenlydesign.co.uk	US	104.17.198.73,104.17.201.73,104.17.199.73,104.17.200.73,104.17.197.73	maya.ns.cloudflare.com,logan.ns.cloudflare.com		{'exchange': 'mx.heavenlydesign.co.uk.cust.b.hostedemail.com', 'priority': 1}	
heavenlydestinations.co.uk	DE	194.245.148.189	a.ns.joker.com,c.ns.joker.com,b.ns.joker.com		{'exchange': 'mail.joker.com', 'priority': 10}	
heavenlydoes.co.uk	DE	91.195.240.135	ns3.meganameservers.eu,ns1.meganameservers.eu,ns2.meganameservers.eu		{'exchange': 'rhea.easily.co.uk', 'priority': 10},{'exchange': 'easymx2.easily.co.uk', 'priority': 10}	
heavenlyevents.co.uk	GB	83.170.69.51	ultra101.uk2.net,ultra102.uk2.net		{'exchange': 'mx.heavenlyevents.co.uk.cust.a.hostedemail.com', 'priority': 0}	
heavenlyexpressionslimited.co.uk	US	50.63.202.60	ns76.domaincontrol.com,ns75.domaincontrol.com			
heavenlyfinances.co.uk	GB	82.163.20.23	ns0.weborigins.net,ns1.weborigins.net		{'exchange': 'spamav1.igcts.com', 'priority': 10},{'exchange': 'spamav.igcts.com', 'priority': 10}	
heavenlyfitness.co.uk	GB	85.233.160.139	ns2.phase8.net,ns0.phase8.net,ns1.phase8.net		{'exchange': 'athena.hosts.co.uk', 'priority': 30},{'exchange': 'hermes.hosts.co.uk', 'priority': 30}	v=spf1 mx a:smtp.hosts.co.uk a:athena.hosts.co.uk a:hermes.hosts.co.uk a:outgoing-smtp.namesco.net a:v.zzzzzz.ws include:_spf.google.com ?all
heavenlygift.co.uk	IE	46.137.103.155	dns2.cscdns.net,dns1.cscdns.net			
heavenlyglowbeauty.co.uk	GB	80.244.185.216	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mail.heavenlyglowbeauty.co.uk', 'priority': 10}	
heavenlyhairseaford.co.uk	GB	217.199.187.71	ns.mainnameserver.com,ns2.mainnameserver.com		{'exchange': 'mail.heavenlyhairseaford.co.uk', 'priority': 10}	
heavenlyhandcrafts.co.uk	GB	188.65.115.24	ns1.tsohost.co.uk,ns2.tsohost.co.uk		{'exchange': 'heavenlyhandcrafts.co.uk', 'priority': 0}	
heavenlyhealing.co.uk	GB	89.187.85.8	ns1.pickaweb.co.uk,ns2.pickaweb.co.uk		{'exchange': 'heavenlyhealing.co.uk', 'priority': 0}	
heavenlyhedgerows.co.uk	US	198.185.159.144,198.185.159.145,198.49.23.145,198.49.23.144	ns0.phase8.net,ns2.phase8.net,ns1.phase8.net		{'exchange': 'mail.heavenlyhedgerows.co.uk', 'priority': 90},{'exchange': 'aspmx.l.google.com', 'priority': 10},{'exchange': 'alt2.aspmx.l.google.com', 'priority': 30},{'exchange': 'aspmx2.googlemail.com', 'priority': 40},{'exchange': 'aspmx3.googlemail.com', 'priority': 50},{'exchange': 'alt1.aspmx.l.google.com', 'priority': 20}	google-site-verification=E8VnDKE9K_-GXKhxEj6jNhcVuHbrKWVavYrOkWaEoS0
heavenlyhen.co.uk	GB	79.170.40.4	ns.heartinternet.co.uk,ns2.heartinternet.co.uk		{'exchange': 'mail.heavenlyhen.co.uk', 'priority': 10}	
heavenlyhost.co.uk	GB	80.76.216.110	ns1.this-dns.net,ns3.this-dns.net,ns2.this-dns.net		{'exchange': 'mail.heavenlyhost.co.uk', 'priority': 0}	
heavenlyhouse.co.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk			
heavenlyicecream.co.uk	DE	217.160.0.123	ns1044.ui-dns.biz,ns1044.ui-dns.org,ns1044.ui-dns.de,ns1044.ui-dns.com		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 10}	
heavenlyis.co.uk	DE	91.195.240.135	ns1.meganameservers.eu,ns3.meganameservers.eu,ns2.meganameservers.eu		{'exchange': 'easymx2.easily.co.uk', 'priority': 10},{'exchange': 'rhea.easily.co.uk', 'priority': 10}	
heavenlykingdom.co.uk	NL	77.243.225.136	ns2.jlkinternet.net,ns1.jlkinternet.net		{'exchange': 'mail.heavenlykingdom.co.uk', 'priority': 10}	v=spf1 a mx ip4:77.243.225.136 ~all
heavenlymassage.co.uk	US	23.236.62.147	ns8.wixdns.net,ns9.wixdns.net		{'exchange': 'mx01.1and1.com', 'priority': 20},{'exchange': 'mx00.1and1.com', 'priority': 10}	
heavenlynails.co.uk	US	184.168.221.62	ns77.domaincontrol.com,ns78.domaincontrol.com			
heavenlynest.co.uk	US	23.236.62.147	ns2.wix.com,ns1.wix.com			
heavenlyoffice.co.uk	GB	94.136.40.51	ns2.hosteurope.com,ns.hosteurope.com		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
heavenlyphotography.co.uk	GB	185.119.173.249	b.dns.gandi.net,c.dns.gandi.net,a.dns.gandi.net		{'exchange': 'fb.mail.gandi.net', 'priority': 50},{'exchange': 'spool.mail.gandi.net', 'priority': 10}	
heavenlyroses.co.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
heavenlyseminyak.co.uk	DE	217.160.0.45	ns1052.ui-dns.de,ns1052.ui-dns.biz,ns1052.ui-dns.org,ns1052.ui-dns.com		{'exchange': 'mx01.1and1.co.uk', 'priority': 10},{'exchange': 'mx00.1and1.co.uk', 'priority': 10}	
heavenlysensations.co.uk	IE	54.246.181.48	ns2.freecom.net,ns1.freecom.net,ns0.freecom.net		{'exchange': 'mailgw1.freecom.net', 'priority': 10},{'exchange': 'mailgw3.freecom.net', 'priority': 10},{'exchange': 'mailgw2.freecom.net', 'priority': 10}	v=spf1 mx ip4:46.51.207.123/32 ip4:54.77.36.29/32 ip4:54.246.152.6/32 ip4:46.51.203.247/32 a:freecom.net ?all
heavenlyspacesexpressed.co.uk	US	50.63.202.58	ns41.domaincontrol.com,ns42.domaincontrol.com			
heavenlysparkle.co.uk	US	50.63.202.52	ns75.domaincontrol.com,ns76.domaincontrol.com			
heavenlystars.co.uk	GB	93.174.140.46	ns3.freeola.net,ns4.freeola.net			
heavenlysyrup.co.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
heavenlytastyorganics.co.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
heavenlytouchflorist.co.uk	US	160.153.136.3	ns03.domaincontrol.com,ns04.domaincontrol.com			
heavenlytowels.co.uk	GB	86.188.178.121	ns1.orranet.co.uk,ns.orranet.co.uk		{'exchange': 'gateway.jenorcotton.com', 'priority': 5},{'exchange': 'mail.orranet.co.uk', 'priority': 10}	
heavenlytv.co.uk	CA	70.33.246.50	ns2.hostpapa.com,ns1.hostpapa.com		{'exchange': 'heavenlytv.co.uk', 'priority': 0}	v=spf1 a mx include:relay.mailchannels.net  ?all
heavenlytwins.co.uk	GB	176.74.20.5	ns2.cloudabove.com,ns1.cloudabove.com		{'exchange': 'heavenlytwins.co.uk', 'priority': 0}	v=spf1 ip4:176.74.20.5 +a +mx +ip4:176.74.20.60 +ip4:82.145.42.127 ~all
heavenlywales.co.uk	GB	185.26.230.131	ns1.meganameservers.eu,ns3.meganameservers.eu,ns2.meganameservers.eu		{'exchange': 'easymx2.easily.co.uk', 'priority': 10},{'exchange': 'rhea.easily.co.uk', 'priority': 10}	
heavenmadefood.co.uk	GB	88.208.252.9	ns2.livedns.co.uk,ns3.livedns.co.uk,ns1.livedns.co.uk		{'exchange': 'mailserver.heavenmadefood.co.uk', 'priority': 10}	
heavenmatters.co.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
heavenmountain.co.uk	GB	185.119.173.151	ns2.gridhost.co.uk,ns1.gridhost.co.uk		{'exchange': 'mail3.eqx.gridhost.co.uk', 'priority': 0}	v=spf1 a mx include:gridhost.co.uk ip4:95.142.156.0/24 ip4:195.62.28.0/23 ~all
heavenofbrands.co.uk	GB	109.73.127.141	ns1.beepweb.net,ns0.beepweb.net			
heavenonearthimports.co.uk	GB	91.103.217.40	ns1.dfsv28.com,ns2.dfsv28.com		{'exchange': 'heavenonearthimports.co.uk', 'priority': 0}	v=spf1 +a +mx +ip4:91.103.217.40 +ip4:91.103.217.5 ~all
heavenonmotherearth.co.uk	DE	217.160.230.224	ns1065.ui-dns.com,ns1065.ui-dns.biz,ns1065.ui-dns.org,ns1065.ui-dns.de		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 10}	
heavenorhell.co.uk			lisa.ns.cloudflare.com,art.ns.cloudflare.com		{'exchange': 'mxa.mailgun.org', 'priority': 10},{'exchange': 'mxb.mailgun.org', 'priority': 10}	v=spf1 include:mailgun.org ~all
heavenpaintball.co.uk	GB	88.208.252.218	ns1.livedns.co.uk,ns2.livedns.co.uk,ns3.livedns.co.uk		{'exchange': 'mailserver.heavenpaintball.co.uk', 'priority': 10}	
heavenretail.co.uk	GB	79.170.40.4	ns2.heartinternet.uk,ns.heartinternet.uk		{'exchange': 'mail.heavenretail.co.uk', 'priority': 10}	
heavens-end.co.uk	GB	212.159.89.127	dns3.uk2.net,dns1.uk2.net,dns2.uk2.net		{'exchange': 'mx.heavens-end.co.uk.cust.a.hostedemail.com', 'priority': 1}	
heavens-gateway.co.uk	US	50.63.202.35	ns46.domaincontrol.com,ns45.domaincontrol.com		{'exchange': 'mailstore1.secureserver.net', 'priority': 10},{'exchange': 'smtp.secureserver.net', 'priority': 0}	
heavens-map.co.uk	DK	46.30.215.172	ns01.one.com,ns02.one.com		{'exchange': 'mx2.pub.mailpod1-cph3.one.com', 'priority': 10},{'exchange': 'mx3.pub.mailpod1-cph3.one.com', 'priority': 10},{'exchange': 'mx1.pub.mailpod1-cph3.one.com', 'priority': 10}	
heavens-scent.co.uk	DE	217.160.0.215	ns1056.ui-dns.biz,ns1080.ui-dns.de,ns1029.ui-dns.com,ns1097.ui-dns.org		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 10}	
heavens-touch.co.uk	DK	185.58.213.106	ns2.mono.net,ns1.mono.net,ns3.mono.net		{'exchange': 'mx.heavens-touch.co.uk.cust.b.hostedemail.com', 'priority': 0}	
heavensangelcattery.co.uk	US	104.154.95.49	ns1070.ui-dns.com,ns1070.ui-dns.biz,ns1070.ui-dns.org,ns1070.ui-dns.de		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 11}	
heavensangels.co.uk	US	66.96.147.117	ns1.ipage.com,ns2.ipage.com		{'exchange': 'mx.heavensangels.co.uk', 'priority': 30}	v=spf1 ip4:66.96.128.0/18 ?all
heavensblessings.co.uk	GB	195.10.245.103	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
heavenscentangels.co.uk	DE	217.160.231.13	ns1072.ui-dns.de,ns1072.ui-dns.com,ns1072.ui-dns.org,ns1072.ui-dns.biz		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 11}	
heavenscentbanbury.co.uk	US	104.27.162.111,104.27.163.111	melinda.ns.cloudflare.com,newt.ns.cloudflare.com		{'exchange': 'dc-0622f3ec06f1.heavenscentbanbury.co.uk', 'priority': 0}	
heavenscentfloraldesigns.co.uk	US	160.153.128.28	ns55.domaincontrol.com,ns56.domaincontrol.com		{'exchange': 'mail.heavenscentfloraldesigns.co.uk', 'priority': 0}	v=spf1 a mx ptr include:secureserver.net ~all
heavenscentme.co.uk	US	50.63.202.63	ns66.domaincontrol.com,ns65.domaincontrol.com		{'exchange': 'smtp.secureserver.net', 'priority': 0},{'exchange': 'mailstore1.secureserver.net', 'priority': 10}	
heavenscentperfumery.co.uk	US	184.168.131.241	ns33.domaincontrol.com,ns34.domaincontrol.com			
heavenscents.co.uk	US	199.59.242.151	ns2.bodis.com,ns1.bodis.com		{'exchange': 'mx76.m2bp.com', 'priority': 10},{'exchange': 'mx76.mb1p.com', 'priority': 0}	
heavenscentsanctuary.co.uk	US	23.236.62.147	ns2.wix.com,ns1.wix.com			
