domain	country	A	NS	CNAME	MX	TXT
dyslexiasupportconsultancy.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
helenamarie.co.uk	GB	139.59.163.233	ns0.lcn.com,ns1.lcn.com,ns2.lcn.com		{'exchange': 'aspmx.l.google.com', 'priority': 1},{'exchange': 'alt3.aspmx.l.google.com', 'priority': 10},{'exchange': 'alt2.aspmx.l.google.com', 'priority': 5},{'exchange': 'alt1.aspmx.l.google.com', 'priority': 5},{'exchange': 'alt4.aspmx.l.google.com', 'priority': 10}	v=spf1 ip4:94.126.40.0/24 ip4:94.126.44.0/22 ip4:178.18.112.0/22 ?all
dysolutions.uk	DE	91.195.240.135	ns1.meganameservers.eu,ns2.meganameservers.eu,ns3.meganameservers.eu			
helenandchris.co.uk	GB	91.136.8.130	ns3.meganameservers.eu,ns2.meganameservers.eu,ns1.meganameservers.eu		{'exchange': 'mx1c51.megamailservers.eu', 'priority': 10},{'exchange': 'mx3c51.megamailservers.eu', 'priority': 110},{'exchange': 'mx2c51.megamailservers.eu', 'priority': 100}	
dysonanddyson.uk	GB	85.233.160.22	ns0.phase8.net,ns2.phase8.net,ns1.phase8.net		{'exchange': 'athena.hosts.co.uk', 'priority': 30},{'exchange': 'hermes.hosts.co.uk', 'priority': 30}	v=spf1 include:spf.hosts.co.uk ~all
dysphoric.uk	US	50.62.65.1	ns45.domaincontrol.com,ns46.domaincontrol.com		{'exchange': 'smtp.secureserver.net', 'priority': 0},{'exchange': 'mailstore1.secureserver.net', 'priority': 10}	
helenandhazel.co.uk	US	23.236.62.147	ns10.wixdns.net,ns11.wixdns.net		{'exchange': 'helenandhazel-co-uk.mail.protection.outlook.com', 'priority': 0}	
dyubikes.uk	GB	85.159.56.214	ns2.ekmdomains.net,ns3.ekmdomains.net,ns1.ekmdomains.net		{'exchange': 'mail.dyubikes.uk', 'priority': 0}	v=spf1 a mx include:spf.mailer01.com ?all
dyxogus.uk			ns.123-reg.co.uk,ns2.123-reg.co.uk			
helenandpeterswedding.co.uk	DE	217.160.230.229	ns1111.ui-dns.de,ns1111.ui-dns.com,ns1111.ui-dns.org,ns1111.ui-dns.biz		{'exchange': 'mx01.1and1.co.uk', 'priority': 10},{'exchange': 'mx00.1and1.co.uk', 'priority': 10}	
dzcontrol.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
helenandrewsphotography.co.uk	DK	46.30.215.2	ns01.one.com,ns02.one.com		{'exchange': 'mx3.pub.mailpod1-cph3.one.com', 'priority': 10},{'exchange': 'mx1.pub.mailpod1-cph3.one.com', 'priority': 10},{'exchange': 'mx2.pub.mailpod1-cph3.one.com', 'priority': 10}	
dzien-dobry.uk	GB	212.48.93.229	ns2.crazydomains.com,ns1.crazydomains.com			
helenandrussell.co.uk	GB	88.208.252.226	ns3.livedns.co.uk,ns2.livedns.co.uk,ns1.livedns.co.uk		{'exchange': 'mailserver.helenandrussell.co.uk', 'priority': 10}	
helenandsam2017.co.uk	DE	217.160.0.219	ns1113.ui-dns.com,ns1113.ui-dns.org,ns1113.ui-dns.biz,ns1113.ui-dns.de		{'exchange': 'mx01.1and1.co.uk', 'priority': 10},{'exchange': 'mx00.1and1.co.uk', 'priority': 10}	
e-360.uk	GB	85.233.160.22	ns0.phase8.net,ns1.phase8.net,ns2.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30}	
helenandsimon.co.uk	US	184.168.131.241	ns35.domaincontrol.com,ns36.domaincontrol.com		{'exchange': 'ASPMX3.GOOGLEMAIL.COM', 'priority': 50},{'exchange': 'ASPMX.L.GOOGLE.COM', 'priority': 10},{'exchange': 'ALT1.ASPMX.L.GOOGLE.COM', 'priority': 20},{'exchange': 'ALT2.ASPMX.L.GOOGLE.COM', 'priority': 30},{'exchange': 'ASPMX2.GOOGLEMAIL.COM', 'priority': 40}	google-site-verification=7uqv9C-efiSPsvmM-9XMOvveb9snfklBvUYtlv4JdWM
e-ag.uk			ns4.bdm.microsoftonline.com,ns3.bdm.microsoftonline.com,ns1.bdm.microsoftonline.com,ns2.bdm.microsoftonline.com		{'exchange': 'eag-uk0c.mail.protection.outlook.com', 'priority': 0}	v=spf1 include:spf.protection.outlook.com -all
helenann.co.uk	GB	94.136.40.82	ns2.hosteurope.com,ns.hosteurope.com		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
helenaoldridgeart.co.uk	US	160.153.136.3	ns63.domaincontrol.com,ns64.domaincontrol.com			
e-alpha1.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
helenaperezgarcia.co.uk	US	198.185.159.144,198.49.23.144,198.185.159.145,198.49.23.145	dns105.ovh.net,ns105.ovh.net		{'exchange': 'mx2.ovh.net', 'priority': 5},{'exchange': 'mx1.ovh.net', 'priority': 1},{'exchange': 'mxb.ovh.net', 'priority': 100}	v=spf1 include:mx.ovh.com ~all
e-assessmentsolutions.uk			ns1.ukdnsservers.co.uk,ns2.ukdnsservers.co.uk,ns3.ukdnsservers.co.uk,ns4.ukdnsservers.co.uk			
helenaroma.co.uk	US	184.168.221.35	ns75.domaincontrol.com,ns76.domaincontrol.com		{'exchange': 'mailstore1.secureserver.net', 'priority': 10},{'exchange': 'smtp.secureserver.net', 'priority': 0}	
e-auto.uk	GB	89.187.86.205	ns2.3dweb.co.uk,ns1.3dweb.co.uk		{'exchange': 'void.blackhole.mx', 'priority': 25}	
helenasblog.co.uk	GB	178.62.58.237	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'hp125.hostpapa.com', 'priority': 20},{'exchange': 'hp125.hostpapa.com', 'priority': 10}	
e-autolease.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
helenashmorefuneralservice.co.uk	GB	77.68.64.12	ns3.livedns.co.uk,ns1.livedns.co.uk,ns2.livedns.co.uk		{'exchange': 'mailserver.helenashmorefuneralservice.co.uk', 'priority': 10}	
helenashounds.co.uk	GB	31.193.13.22	ns1125.ui-dns.biz,ns1125.ui-dns.de,ns1125.ui-dns.org,ns1125.ui-dns.com		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 11}	
e-barrett.uk	GB	94.126.40.154	ns0.lcn.com,ns1.lcn.com,ns2.lcn.com		{'exchange': 'mailforward.lcn.com', 'priority': 10}	v=spf1 ip4:94.126.40.0/24 ip4:94.126.44.0/22 ip4:178.18.112.0/22 ?all
helenasilver.co.uk	US	23.236.62.147	ns11.wixdns.net,ns10.wixdns.net		{'exchange': 'alt1.aspmx.l.google.com', 'priority': 20},{'exchange': 'alt2.aspmx.l.google.com', 'priority': 30},{'exchange': 'aspmx.l.google.com', 'priority': 10},{'exchange': 'aspmx2.googlemail.com', 'priority': 40},{'exchange': 'aspmx3.googlemail.com', 'priority': 50}	google-site-verification=fb5tojGHdV0ViKd36K4kwXUWBo-IJ29TAlZQRmj4ohE
e-bc.uk	GB	85.233.160.22	ns0.phase8.net,ns1.phase8.net,ns2.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
helenaspringfieldtowels.co.uk	DE	81.169.145.146	shades10.rzone.de,docks09.rzone.de		{'exchange': 'smtp.rzone.de', 'priority': 5}	
e-beardsall.uk	GB	85.233.160.22	ns1.phase8.net,ns2.phase8.net,ns0.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
helenateasdale.co.uk	DE	217.160.223.59	ns1020.ui-dns.biz,ns1020.ui-dns.org,ns1020.ui-dns.de,ns1020.ui-dns.com		{'exchange': 'mx01.1and1.co.uk', 'priority': 10},{'exchange': 'mx00.1and1.co.uk', 'priority': 10}	
helenatepper.co.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
helenavenables.co.uk	GB	213.171.195.105	ns3.livedns.co.uk,ns1.livedns.co.uk,ns2.livedns.co.uk			
e-bikeshare.uk	NL	91.184.0.100	ns3.hostnetbv.nl,ns2.hostnetbv.com,ns1.hostnet.nl			v=spf1 include:_spf.hostnet.nl -all
helenbainbridge.co.uk	US	104.199.89.183	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	google-site-verification=Yszt_zElosQ0mLqpfYPXAyF4GaiV8yw4gs_gjJ_AqVc
e-bilans.uk			ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
helenbakes.co.uk	US	160.153.136.3	ns05.domaincontrol.com,ns06.domaincontrol.com		{'exchange': 'smtp.secureserver.net', 'priority': 0},{'exchange': 'mailstore1.secureserver.net', 'priority': 10}	
e-blu.uk	GB	85.233.160.22	ns1.phase8.net,ns0.phase8.net,ns2.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
helenbarclaywriter.co.uk	GB	213.171.195.105	ns3.livedns.co.uk,ns2.livedns.co.uk,ns1.livedns.co.uk			
helenbarker.co.uk	DE	217.160.0.23	ns1031.ui-dns.org,ns1031.ui-dns.com,ns1031.ui-dns.biz,ns1031.ui-dns.de		{'exchange': 'mx01.1and1.co.uk', 'priority': 10},{'exchange': 'mx00.1and1.co.uk', 'priority': 10}	
e-businesshosting.uk			ns.123-reg.co.uk,ns2.123-reg.co.uk			
helenbarton.co.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
e-c-a-s.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
e-cam.uk	DK	46.30.215.147	ns02.one.com,ns01.one.com		{'exchange': 'mx3.pub.mailpod2-cph3.one.com', 'priority': 10},{'exchange': 'mx1.pub.mailpod2-cph3.one.com', 'priority': 10},{'exchange': 'mx2.pub.mailpod2-cph3.one.com', 'priority': 10}	
hypnotherapy-central-london.uk			ns1.cloudnext.net,ns2.cloudnext.net			
hypnotherapy-worcester.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
hypnotherapybromley.uk			ns1070.ui-dns.com,ns1079.ui-dns.org,ns1044.ui-dns.de,ns1107.ui-dns.biz			
hypnotherapycds.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
hypnotherapyhelps.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
hypnotherapyinlondon.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
hypnotherapyinnottingham.uk	GB	5.134.10.207	ns3.healthhosts.com,ns4.healthhosts.com		{'exchange': 'mxmail2.webspeed.co.uk', 'priority': 20},{'exchange': 'mxmail1.webspeed.co.uk', 'priority': 10},{'exchange': 'mxmail3.webspeed.co.uk', 'priority': 30}	v=spf1 a include:relay.mailchannels.net ip4:85.92.81.218 ip4:185.77.66.229 ip4:95.172.8.227 ip4:185.77.66.226 ip4:95.172.8.226 ip4:95.172.8.228 ip4:185.77.66.230 ip4:149.3.140.162 ip4:37.220.97.18 ip4:130.193.84.2 ip4:5.134.9.46 ip4:5.134.9.17 ip4:5.134.9,.23 ip4:5.134.10.207 ip4:5.134.10.132 include:spf.mtasv.net include:_spf.mlsend.com include:spf.protection.outlook.com -all
e-centriq.uk	GB	217.154.127.10	ns2.mistral.co.uk,ns.mistral.co.uk		{'exchange': 'mx.vip.mistral.l.kcom.com', 'priority': 5}	
e-change.uk	US	184.168.131.241	ns58.domaincontrol.com,ns57.domaincontrol.com		{'exchange': 'smtp.secureserver.net', 'priority': 0},{'exchange': 'mailstore1.secureserver.net', 'priority': 10}	
hypnotherapylist.uk	DE	217.160.0.125	ns1033.ui-dns.de,ns1033.ui-dns.biz,ns1033.ui-dns.com,ns1033.ui-dns.org			
e-cigars.uk			ns.123-reg.co.uk,ns2.123-reg.co.uk			
hypnotherapylounge.uk	GB	85.233.160.22	ns0.phase8.net,ns1.phase8.net,ns2.phase8.net		{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
hypnotherapysouthport.uk	GB	85.233.160.22	ns1.phase8.net,ns0.phase8.net,ns2.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
hypnotherapystockport.uk	GB	185.119.173.115	ns1.vidacloud.co.uk,ns2.vidacloud.co.uk,ns3.vidacloud.co.uk		{'exchange': 'mail3.eqx.gridhost.co.uk', 'priority': 0}	v=spf1 a mx include:gridhost.co.uk ip4:95.142.156.0/24 ip4:195.62.28.0/23 ~all
e-combat.uk	GB	85.233.160.22	ns1.phase8.net,ns2.phase8.net,ns0.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
e-commerceempire.uk	FR	164.132.163.151	ns2.e-commerceempire.uk,ns1.e-commerceempire.uk		{'exchange': 'mail.e-commerceempire.uk', 'priority': 10}	
hypnotherapyworcester.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
hypnotic-world.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
e-commercesolutions.uk	US	209.124.66.14	ns1.daily.co.uk,ns2.daily.co.uk			
e-cook.uk	GB	109.239.101.52	ns01.any-dns.co.uk,ns02.any-dns.co.uk		{'exchange': 'mail.any-mail.com', 'priority': 20},{'exchange': 'mail.any-mail.com', 'priority': 10}	
hypnotiqsuccessclinic.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
e-counselor.uk	US	184.168.221.60	ns32.domaincontrol.com,ns31.domaincontrol.com			
hypnotistleeds.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
e-cue.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
hypnoworks.uk	DE	217.160.0.94	ns1085.ui-dns.com,ns1084.ui-dns.biz,ns1053.ui-dns.org,ns1017.ui-dns.de		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 10}	
e-dinar.uk	GB	185.26.230.131	ns3.meganameservers.eu,ns2.meganameservers.eu,ns1.meganameservers.eu		{'exchange': 'rhea.easily.co.uk', 'priority': 10},{'exchange': 'easymx2.easily.co.uk', 'priority': 10}	
e-entrepreneur.uk	GB	193.189.74.83	ns1.ukwebsolutionsdirect.com,ns2.ukwebsolutionsdirect.com		{'exchange': 'e-entrepreneur.uk', 'priority': 0}	v=spf1 +a +mx +ip4:193.189.75.101 +ip4:193.189.74.83 +include:spf.emailamp.com +ip4:193.189.74.174 +ip4:89.238.188.250 +ip4:89.238.188.251 +ip4:89.238.188.252 +ip4:89.238.188.253 ~all
hytechlogistics.uk	GB	85.233.160.22	ns0.reg365.net,ns1.reg365.net,ns2.reg365.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30}	
e-fishency.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk			
hytekgb.uk			ns3.tsohost.co.uk,ns1.tsohost.co.uk,ns2.tsohost.co.uk			
hythesailingclub.uk			ns1.easy-internet.co.uk,ns2.easy-internet.co.uk			
hyundaibirmingham.uk			ns2.dnsfarm.org,ns1.dnsfarm.org,ns3.dnsfarm.org			
e-gr.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
hyundaidiscountparts.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
e-investment.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
i-am-moving.uk			ns1.domainmonster.com,ns2.domainmonster.com,ns3.domainmonster.com			
e-junkie.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
e-lert.uk			ns2.123-reg.co.uk,ns.123-reg.co.uk			
i-buildmagazine.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
i-cage.uk			ns2.interdns.co.uk,ns1.interdns.co.uk			
e-liquidflavourconcentrates.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
i-cooler.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
i-dan.uk	US	52.35.56.220	dns1.stabletransit.com,dns2.stabletransit.com		{'exchange': 'alt1.aspmx.l.google.com', 'priority': 5},{'exchange': 'aspmx.l.google.com', 'priority': 1},{'exchange': 'aspmx2.googlemail.com', 'priority': 10},{'exchange': 'aspmx3.googlemail.com', 'priority': 10},{'exchange': 'alt2.aspmx.l.google.com', 'priority': 5}	google-site-verification=LVmkG3yP8yaXuahTQyCKXm1QfFzfwSWUHueqXtxdTLU
e-m8.uk	GB	149.255.62.56	ns1.unlimited.uk.net,ns0.unlimited.uk.net		{'exchange': 'mail.e-m8.uk', 'priority': 10}	
i-demon.uk	GB	85.233.160.22	ns0.phase8.net,ns1.phase8.net,ns2.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
e-mcsquare.uk			ns2.ukdnsservers.co.uk,ns1.ukdnsservers.co.uk,ns3.ukdnsservers.co.uk,ns4.ukdnsservers.co.uk			
e-mergesecure.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
i-eng.uk	IN	103.50.162.157	ns2.bh-in-23.webhostbox.net,ns1.bh-in-23.webhostbox.net		{'exchange': 'i-eng.uk', 'priority': 0}	v=spf1 +a +mx +ip4:103.50.162.157 ~all
e-messaging.uk	GB	85.233.160.22	ns1.phase8.net,ns2.phase8.net,ns0.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
i-glaze.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
i-got-it-on-ebay.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
englishcitiesfund.uk	US	104.18.127.144,104.18.123.144,104.18.124.144,104.18.125.144,104.18.126.144	ns2.123-reg.co.uk,ns.123-reg.co.uk	englishcitiesfund.co.uk	{'exchange': 'mx1.emailsrvr.com', 'priority': 10},{'exchange': 'mx2.emailsrvr.com', 'priority': 20}	v=spf1 include:servers.mcsv.net ?all
i-hair.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
englishcountrygardeners.uk	GB	85.233.160.22	ns2.phase8.net,ns1.phase8.net,ns0.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30}	
i-heart-it.uk	GB	85.233.160.22	ns1.phase8.net,ns0.phase8.net,ns2.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
i-holland.uk	GB	85.233.160.22	ns2.phase8.net,ns1.phase8.net,ns0.phase8.net		{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
englishdriveways.uk	GB	85.233.160.22	ns1.phase8.net,ns0.phase8.net,ns2.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
i-jump.uk			ns6.wixdns.net,ns7.wixdns.net			
englisheconomic.uk	DE	217.160.0.88	ns1034.ui-dns.de,ns1059.ui-dns.org,ns1066.ui-dns.com,ns1123.ui-dns.biz		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 10}	
englisheditorial.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
englishgardentea.uk	GB	193.189.74.44	ns1.estores.org.uk,ns2.estores.org.uk		{'exchange': 'englishgardentea.uk', 'priority': 0}	v=spf1 +include:spf.emailamp.com ip4:193.189.74.44 ip4:193.189.74.20 +a +mx ~all
i-mage.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
englishhandmadesoap.uk	GB	85.233.160.22	ns0.phase8.net,ns1.phase8.net,ns2.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
englishhardwoods.uk			ns1.easy-internet.co.uk,ns2.easy-internet.co.uk			
englishheaven.uk			ns13.domaincontrol.com,ns14.domaincontrol.com			NETORGFT3008254.onmicrosoft.com
i-pix.uk			ns4.srv.host-it.co.uk,ns6.srv.host-it.co.uk,ns5.srv.host-it.co.uk			
englishhero.uk	US	13.35.78.10,13.35.78.35,13.35.78.54,13.35.78.120	ns-1235.awsdns-26.org,ns-2030.awsdns-61.co.uk,ns-288.awsdns-36.com,ns-552.awsdns-05.net			
i-resolve.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
englishidyll.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
i-s-s.uk	DE	217.160.0.140	ns1081.ui-dns.org,ns1081.ui-dns.com,ns1081.ui-dns.de,ns1081.ui-dns.biz		{'exchange': 'mx01.1and1.co.uk', 'priority': 10},{'exchange': 'mx00.1and1.co.uk', 'priority': 10}	
englishinaction.uk	GB	85.233.160.22	ns1.phase8.net,ns0.phase8.net,ns2.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
i-saver.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
helenbaxterphotography.co.uk	GB	162.13.209.145	ns4.clikpicdns.com,ns3.clikpicdns.com		{'exchange': 'mx2.emailsrvr.com', 'priority': 20},{'exchange': 'mx1.emailsrvr.com', 'priority': 10}	v=spf1 include:emailsrvr.com ~all
englishlabournetwork.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
englishlandparty.uk	US	50.63.202.32	ns15.domaincontrol.com,ns16.domaincontrol.com			
englishlanguageschool.uk	GB	37.61.233.179	ns1.memorabledomains.co.uk,ns2.memorabledomains.co.uk			
i-slidedoors.uk	GB	85.233.160.22	ns0.phase8.net,ns1.phase8.net,ns2.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
e-mortgage.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
i-study.uk	GB	88.208.252.9	ns2.livedns.co.uk,ns1.livedns.co.uk,ns3.livedns.co.uk		{'exchange': 'mailserver.i-study.uk', 'priority': 10}	
i-style.uk	GB	109.239.101.52	ns02.any-dns.co.uk,ns01.any-dns.co.uk		{'exchange': 'mail.any-mail.com', 'priority': 20},{'exchange': 'mail.any-mail.com', 'priority': 10}	v=spf1 mx ip4:109.239.101.43 -all
helenbillingsleyceramics.co.uk	GB	93.184.220.23	ns1.phase8.net,ns0.phase8.net,ns2.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30}	
e-osteo.uk	DE	217.160.0.104	ns1088.ui-dns.de,ns1088.ui-dns.biz,ns1088.ui-dns.com,ns1088.ui-dns.org		{'exchange': 'mx01.1and1.co.uk', 'priority': 10},{'exchange': 'mx00.1and1.co.uk', 'priority': 10}	
i-syt.uk	GB	85.233.160.22	ns0.phase8.net,ns1.phase8.net,ns2.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
